Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc)
281.3749999998166,545734429.9385217,300.04828228055084,0.0016263347305648553,1281.2211402437788,565.2705091697155,790.2082711471941,21.08957357253225,851796.9187354067,0.47403857393212157
281.87999999981616,545254957.035795,299.78466501000514,0.0016871527309532586,1275.5891363816102,564.7385280484446,770.0082711471941,21.089764435234436,855256.5764264035,0.4829936234251818
282.3849999998157,544646724.2659043,299.4502547404295,0.0017398114872309292,1270.9716089016908,564.2661165232691,749.8082711471941,21.092815060840955,858713.9416548997,0.4920585835096924
282.88999999981525,543911823.0406202,299.04620134340047,0.0017856342693783288,1267.308980955585,563.8623282545991,729.608271147194,21.099430049277174,862168.2355299823,0.5012338759432726
283.3949999998148,543078252.3804349,298.58789885957833,0.0018258290735078864,1264.5485448856102,563.5335208893783,709.4082711471941,21.11026915726102,865618.7863584823,0.5105199220859543
283.8999999998143,542237429.9953827,298.12560933101327,0.0018620221675069845,1262.5827511399768,563.2775844953976,697.0545794735914,21.12581108474838,869065.1443687351,0.5199171417155313
284.40499999981387,542007982.5284353,297.99945764522187,0.0018996318944332561,1260.8195907097586,563.0367777527518,696.6267316373453,21.14506038413634,872509.033099714,0.5294259429831638
284.9099999998134,542244865.544696,298.12969744361334,0.0019369778998636462,1259.1342740261457,562.7963387278407,696.9033591169446,21.1648876367611,875954.036466677,0.5390467466041013
285.41499999981295,542657633.121111,298.3566396988388,0.0019719689158220768,1257.5293899312023,562.5564679445355,697.0845202401798,21.18316339261546,879401.9649447522,0.5487799775318211
285.9199999998125,543098803.1789105,298.59919782010525,0.0020038958437068846,1256.0009227042935,562.3179069246008,697.6849266615388,21.199115618891625,882853.3704532249,0.558626060288205
286.42499999981203,543503674.3799188,298.8217985975954,0.0020327266452251436,1254.5452807942074,562.0818536041168,697.8600079733188,21.212675925936306,886308.1994009208,0.568585419809192
286.92999999981157,543852161.536392,299.01339906654215,0.0020587283884510124,1253.1578397421276,561.8493887579793,698.3767583995703,21.224071939682545,889766.1639396998,0.5786584817646256
287.4349999998111,544143960.7995577,299.173832168946,0.0020822473515735617,1251.8343232153013,561.6214366289746,698.447497477913,21.233615657645487,893226.92475573,0.5888456728747591
287.93999999981065,544385899.8251369,299.3068517936191,0.0021036228707324903,1250.5704796910165,561.3986855324154,698.8677295669946,21.24161127196314,896690.1659222173,0.5991474211983465
288.4449999998102,544586195.5208936,299.4169756490386,0.00212314893452011,1249.3627715038633,561.1816700430585,698.853877633926,21.248323514710496,900155.6176227207,0.6095641564662255
288.94999999980973,544752345.2684792,299.50832584361956,0.0021410761648297484,1248.2077231226465,560.9707368830551,699.2053942089615,21.2539726937038,903623.0566157213,0.6200962879792185
289.4549999998093,544890518.167726,299.584294187932,0.0021576101926100697,1247.1024948826796,560.766137549425,699.1340776713399,21.258739538358206,907092.2998010211,0.6307442063422054
289.9599999998088,545005705.1406178,299.64762472282456,0.002172925313804828,1246.0442352281248,560.5679944637723,699.4393768436947,21.262772185939845,910563.1974647895,0.6415083319875858
290.46499999980836,545101837.3715909,299.7004788386598,0.002187164673154394,1245.030640649959,560.3763828608368,699.3291731690682,21.266192647080405,914035.6260899628,0.6523890859472352
290.9699999998079,545182098.8483754,299.7446071122694,0.002200452452369552,1244.0592998370648,560.1912854215319,699.6028078848955,21.269102130342027,917509.4830294213,0.6633868894376822
291.47499999980744,545249035.299248,299.7814092013524,0.0022128914425847157,1243.1282852569107,560.012667900106,699.4656119658936,21.271585130219908,920984.6824505243,0.6745021638625622
291.979999999807,545304779.171586,299.8120575391247,0.0022245729665657877,1242.2355110000613,559.8404279400478,699.7170325338307,21.273712544953163,924461.1522543419,0.6857353307880274
292.4849999998065,545351059.884865,299.83750297148197,0.0022355727129683037,1241.3793340073753,559.6744654972218,699.5607558969105,21.27554406516342,927938.8316887188,0.6970868119556682
292.98999999980606,545389369.1950885,299.8585656754225,0.002245959388861206,1240.5579198887972,559.5146281874463,699.796396327966,21.27713006170006,931417.6694674342,0.708557029259928
293.4949999998056,545420916.4720114,299.8759105701773,0.0022557897212379914,1239.7698422848193,559.3607770792302,699.6265279918416,21.27851308869992,934897.6220179253,0.7201463794401846
293.99999999980514,545446748.4731959,299.8901131697533,0.0022651169048056937,1239.0134138624633,559.2127227342071,699.8508991860728,21.279729169418935,938378.6507996743,0.7318550773987855
294.5049999998047,545467761.7442759,299.90166640067804,0.0022739832956635013,1238.2874507235392,559.0703179106526,699.6713338069702,21.280808749242308,941860.7265469481,0.7436837302978065
295.0099999998042,545484717.3519162,299.9109887022746,0.0022824296596220097,1237.5904839167363,558.9333704537879,699.887710826802,21.281777479195377,945343.8231349917,0.7556327576527847
295.51499999980376,545498226.2727108,299.9184159933845,0.0022904888115570354,1236.9214240745716,558.8017160834797,699.7012752050344,21.282657034743057,948827.9184660786,0.7677025789732205
296.0199999998033,545508843.4716905,299.92425339733364,0.002298192922803693,1236.2789382221501,558.6751596756723,699.9119862235403,21.28346573191753,952312.9938733712,0.7798936137596545
296.52499999980284,545517007.539563,299.9287420541,0.002305567412132509,1235.6620616258595,558.5535371576957,699.7207042963482,21.2842190196145,955799.0336096236,0.7922062815012044
297.0299999998024,545523126.2664169,299.9321061692841,0.0023126380514426038,1235.0695765108565,558.4366563878847,699.9274483401311,21.284929908816054,959286.0244189269,0.8046410016734874
297.5349999998019,545527512.6758496,299.9345178452632,0.002319424720477441,1234.5006243772166,558.3243581706929,699.7328063991115,21.2856093295062,962773.955162825,0.8171981937368666
298.03999999980147,545530467.6300285,299.9361424979824,0.002325948382983132,1233.9540863193467,558.2164569552596,699.9368351796912,21.286266444134014,966262.8165104908,0.8298782771349899
298.544999999801,545532213.1817912,299.9371022135131,0.0023322247423153393,1233.4291955664748,558.1128011805938,699.7399319553051,21.286908904909062,969752.6006666538,0.8426816712935518
299.04999999980055,545532972.8020394,299.93751985758723,0.0023382711201927774,1232.9249191659017,558.0132139356355,699.942173345808,21.287543082081086,973243.3011486559,0.8556087956192738
299.5549999998001,545532902.644457,299.9374812844993,0.0023441000411927723,1232.4405705964534,557.9175527892659,699.7438234096405,21.288174248846655,976734.9125881246,0.8686600694990458
300.05999999979963,545532169.9691331,299.9370784549172,0.0023497260390813184,1231.9751926531565,557.8256505083968,699.944961678357,21.288806748414324,980227.4305702975,0.8818359122992262
300.56499999979917,545530882.8680786,299.93637079852,0.0023551591913022383,1231.5281700484907,557.7373744870057,699.7457573161948,21.289444127333557,983720.8514881266,0.8951367433650593
