Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc),Burnup(MWd/kgU),U-235(atoms/cc),U-238(atoms/cc),Pu-239(atoms/cc),FP(atoms/cc)
240.97499999985334,1743.108670762101,0.0009583723030804958,-0.0009197357995810862,450.00844452914856,450.0012988616751,199.87301531471704,33.00016466232761,1.7139926433633816,7.636847105073595e-07,8.253899329912972e-11,9.839999998915184e+20,2.2099999999999915e+22,11256078076.122423,218796811774.64008
241.47999999985288,1725.0215157405003,0.0009484278694918278,-0.0009198349135781278,450.00841469087374,450.0013033766104,200.07302780251032,33.00012787851698,1.7247170644488148,7.774792071566823e-07,8.304099138235623e-11,9.839999998908586e+20,2.2099999999999915e+22,11324536987.390923,220127523184.25894
241.98499999985242,1707.5219592621925,0.0009388065013428926,-0.0009199118090218743,450.0083843169333,450.0013075125971,199.87304046670175,33.00009931181791,1.7353392455797068,7.91496806796007e-07,8.353783848338734e-11,9.839999998901944e+20,2.2099999999999915e+22,11392293444.516916,221444580217.4818
242.48999999985196,1690.5751952005376,0.0009294890620025047,-0.0009199714484776075,450.0083534491903,450.0013112811315,200.0730528125205,33.000077126615196,1.7458625244529051,8.05738840238054e-07,8.40296995884989e-11,9.83999999889544e+20,2.2099999999999915e+22,11459369947.149721,222748420224.82263
242.9949999998515,1674.14920835803,0.0009204579493101784,-0.0009200176860438905,450.00832213129866,450.00131469375754,199.87306533562665,33.00005989735057,1.7562900424569303,8.202066248738011e-07,8.451673001953624e-11,9.839999998888993e+20,2.2099999999999915e+22,11525787676.972658,224039454938.0363
243.49999999985104,1658.214495631508,0.0009116969422709751,-0.0009200535148716513,450.008290399208,450.0013177615941,200.07307754657705,33.000046516920214,1.7666247602658578,8.349014650862415e-07,8.499907620064027e-11,9.839999998882578e+20,2.2099999999999915e+22,11591566602.263657,225318072502.5783
244.00499999985058,1642.743821313931,0.0009031910665188557,-0.0009200812595793887,450.0082582910884,450.00132049580924,199.87308993544474,33.000036125535445,1.776869471893778,8.498246526395753e-07,8.547687634933179e-11,9.839999998876275e+20,2.2099999999999915e+22,11656725572.14053,226584639309.55304
244.50999999985012,1627.7120013552897,0.0008949264757019469,-0.0009201027255062509,450.0082258378907,450.00132290710263,200.07310201787735,33.000028055475475,1.7870268173951935,8.649774670459286e-07,8.595026110106544e-11,9.839999998869977e+20,2.2099999999999915e+22,11721282401.733057,227839501651.29886
245.01499999984966,1613.0957123464696,0.0008868903464606478,-0.0009201193147959621,450.0081930731301,450.0013250062315,199.8731142786433,33.00002178818095,1.797099294369153,8.803611759113066e-07,8.641935407499738e-11,9.839999998863758e+20,2.2099999999999915e+22,11785253949.33835,229082987221.14108
245.5199999998492,1598.873321763193,0.0008790707850946627,-0.0009201321163755843,450.00816002350837,450.00132680344853,200.07312623826607,33.00001692093331,1.8070892684022368,8.959770352624235e-07,8.688427238760337e-11,9.839999998857631e+20,2.2099999999999915e+22,11848656186.464445,230315406474.9092
246.02499999984875,1585.0247365903292,0.0008714567443356771,-0.0009201419760149231,450.00812671856863,450.0013283090743,199.87313837646138,33.000013140976996,1.816998982566978,9.118262898559758e-07,8.73451271198763e-11,9.839999998851482e+20,2.2099999999999915e+22,11911504261.54339,231537053869.3929
246.5299999998483,1571.5312679468607,0.0008640379489172988,-0.0009201495505440116,450.00809318138323,450.0013295328986,200.0731502184324,33.00001020542269,1.8268305660766833,9.279101734715953e-07,8.7802023743061e-11,9.839999998845438e+20,2.2099999999999915e+22,11973812557.989832,232748208990.89694
247.03499999984783,1558.375509680834,0.0008568048288257846,-0.000920155350155974,450.00805943809047,450.00133048479165,199.87316223906785,33.00000792563991,1.836586042185218,9.442299091889662e-07,8.825506250727591e-11,9.839999998839449e+20,2.2099999999999915e+22,12035594747.198534,233949137585.40878
247.53999999984737,1545.541229245992,0.0008497484593033137,-0.0009201597710684361,450.0080255086508,450.00133117407245,200.07317396807164,33.00000615513639,1.846267335410616,9.60786709644247e-07,8.870433879690367e-11,9.839999998833462e+20,2.2099999999999915e+22,12096863837.009945,235140092500.67874
248.0449999998469,1533.0129874510108,0.0008428603517836854,-0.0009201631210697743,450.00799141640783,450.0013316103917,199.8731858757083,33.00000478014443,1.8558763463258967,9.775815460783194e-07,8.914994691778207e-11,9.839999998827583e+20,2.2099999999999915e+22,12157632688.180319,236321323725.42004
248.54999999984645,1520.7765357134015,0.0008361326723050566,-0.0009201656391851526,450.00795717864236,450.0013318026683,200.07319749601731,33.00000371231105,1.8654148452070731,9.946155071433648e-07,8.95919746939801e-11,9.839999998821758e+20,2.2099999999999915e+22,12217913277.528618,237493064066.2797
249.054999999846,1508.8189296718956,0.000829558303974758,-0.0009201675111206074,450.00792281584245,450.00133175959616,199.87320929482334,33.0000028830203,1.874884423029902,1.011890016583623e-06,9.003050096140083e-11,9.839999998815934e+20,2.2099999999999915e+22,12277716356.13191,238655522503.80768
249.55999999984553,1497.1277437764538,0.0008231304151458544,-0.0009201688810853259,450.00788834296463,450.0013314895474,200.07322081035144,33.00000223898427,1.8842866697516587,1.029406243892654e-06,9.04656046130723e-11,9.83999999881015e+20,2.2099999999999915e+22,12337052682.857601,239808908169.98334
250.06499999984507,1485.6913199896887,0.0008168425961547788,-0.0009201698611468985,450.0078537784642,450.00133100102545,199.8732325041548,33.000001738819016,1.8936231046816698,1.0471653492859802e-06,9.089736105840651e-11,9.839999998804457e+20,2.2099999999999915e+22,12395932541.502384,240953420962.31265
250.5699999998446,1474.4987080731032,0.0008106888264903238,-0.0009201705383261917,450.0078191352908,450.00133030194223,200.07324391850344,33.00000135038535,1.9028951808155976,1.0651684839046804e-06,9.132584243653462e-11,9.839999998798764e+20,2.2099999999999915e+22,12454365769.885464,242089252109.34402
251.07499999984415,1463.539611300755,0.0008046634449466674,-0.0009201709802718618,450.0077844299803,450.00132940035957,199.87325551083228,33.000001048723654,1.9121042888345852,1.0834167900101563e-06,9.175111781316221e-11,9.839999998793105e+20,2.2099999999999915e+22,12512361786.694252,243216584692.49884
251.5799999998437,1452.8043370523485,0.0007987611224591384,-0.0009201712395022462,450.0077496737355,450.0013283037396,200.07326682732636,33.00000081444995,1.9212517607995625,1.1019114011706131e-06,9.217325336243423e-11,9.839999998787545e+20,2.2099999999999915e+22,12569929616.28571,244335594128.16327
252.08499999984323,1442.2837517903063,0.0007929768373503218,-0.0009201713568730676,450.0077148814141,450.0013270197138,199.8732783214438,33.00000063251052,1.930338873567949,1.1206534424397386e-06,9.2592312535147e-11,9.839999998781985e+20,2.2099999999999915e+22,12627077911.626085,245446448613.59076
252.58999999984277,1431.9692399976911,0.0007873058527538667,-0.0009201713640917306,450.00768006269277,450.00132555530786,200.07328954316313,33.000000491214436,1.939366851957301,1.1396440305280508e-06,9.300835621451613e-11,9.839999998776425e+20,2.2099999999999915e+22,12683814975.53318,246549309539.81448
253.09499999984232,1421.8526666798039,0.0007817436959976229,-0.0009201712858428233,450.007645230956,450.0013239177357,199.8733009420968,33.000000381482366,1.9483368716780145,1.158884273967302e-06,9.342144286058451e-11,9.839999998770993e+20,2.2099999999999915e+22,12740148780.369896,247644331874.45093
253.59999999984186,1411.926343091544,0.0007762861397603267,-0.0009201711412796046,450.00761039454426,450.00132211360284,200.07331207190393,33.00000029626325,1.9572500620550717,1.1783752732683568e-06,9.383162864425527e-11,9.839999998765565e+20,2.2099999999999915e+22,12796086986.322601,248731664516.99585
254.1049999998414,1402.1829953795357,0.0007709291848308392,-0.0009201709453349219,450.0075755655439,450.00132014972047,199.8733233784717,33.00000023008116,1.9661075085568698,1.1981181210729043e-06,9.423896757183392e-11,9.839999998760138e+20,2.2099999999999915e+22,12851636958.385315,249811450628.96652
254.60999999984094,1392.6157358656196,0.0007656690443196271,-0.0009201707095801301,450.0075407511205,450.0013180322888,200.07333441903435,33.0000001786835,1.9749102551474829,1.2181139022993127e-06,9.464351160088593e-11,9.839999998754774e+20,2.2099999999999915e+22,12906805782.15953,250883827941.0177
255.11499999984048,1383.2180367173667,0.0007605021291826432,-0.0009201704430611373,450.0075059622135,450.0013157677322,199.87334563586572,33.00000013876748,1.9836593064771284,1.2383636942829754e-06,9.504531074813431e-11,9.839999998749479e+20,2.2099999999999915e+22,12961600278.568476,251948929038.96286
255.61999999984002,1373.9837057914622,0.000755425034939863,-0.000920170152778638,450.0074712049549,450.00131336186354,200.0733565896777,33.00000010776832,1.9923556299242702,1.2588685669114145e-06,9.544441319005743e-11,9.839999998744183e+20,2.2099999999999915e+22,13016027017.576048,253006881630.44022
256.1249999998396,1364.9068644421777,0.0007504345294742416,-0.0009201698442243353,450.0074364892665,450.0013108207346,199.87336771923353,33.00000008369401,2.0010001575015064,1.2796295827544202e-06,9.584086535678558e-11,9.839999998738888e+20,2.2099999999999915e+22,13070092330.99159,254057808793.81604
256.62999999983913,1355.9819271210454,0.0007455275418154844,-0.0009201695216336038,450.00740182036714,450.0013081497893,200.0733785886314,33.00000006499769,2.009593787636283,1.3006477971894859e-06,9.623471201983803e-11,9.839999998733692e+20,2.2099999999999915e+22,13123802324.434969,255101829210.76163
257.13499999983867,1347.2035825964617,0.0007407011518144632,-0.0009201691883529873,450.0073672072747,450.0013053547251,199.87338963322054,33.00000005047787,2.018137386836497,1.3219242585227598e-06,9.662599637419526e-11,9.83999999872853e+20,2.2099999999999915e+22,13177162888.528944,256139057383.81296
257.6399999998382,1338.5667766573524,0.000735952580633583,-0.0009201688469525057,450.00733265439845,450.0013024406323,200.07340042039849,33.000000039201666,2.0266317912500584,1.3434600081057516e-06,9.701476011515401e-11,9.839999998723367e+20,2.2099999999999915e+22,13230179709.380129,257169603840.09915
258.14499999983775,1330.0666961582292,0.0007312791819746498,-0.0009201684994793274,450.00729816995107,450.0012994128703,199.873411382192,33.00000003044447,2.035077808126802,1.3652560804479913e-06,9.740104351037391e-11,9.839999998718204e+20,2.2099999999999915e+22,13282858278.404202,258193575322.32666
258.6499999998373,1321.6987542941888,0.0007266784339829724,-0.0009201681474922229,450.00726375762366,450.0012962761935,200.073422089215,33.000000023643466,2.0434762171902037,1.3873135033258356e-06,9.778488546748777e-11,9.839999998713144e+20,2.2099999999999915e+22,13335203901.546053,259211074968.00244
259.15499999983683,1313.4585769891005,0.0007221479317635,-0.0009201677922545591,450.0072294249095,450.00129303564074,199.87343297025927,33.00000001836178,2.051827771925883,1.4096332978876094e-06,9.816632359761377e-11,9.839999998708114e+20,2.2099999999999915e+22,13387221707.941235,260222202477.79498
259.6599999998364,1305.3419903086524,0.000717685380460435,-0.0009201674347174026,450.0071951748613,450.00128969564804,200.07344359907597,33.00000001425999,2.0601332007931368,1.432216478755244e-06,9.854539427507939e-11,9.839999998703083e+20,2.2099999999999915e+22,13438916658.0606,261227054273.85004
260.1649999998359,1297.3450088008483,0.0007132885888467628,-0.0009201670756670471,450.00716101432647,450.00128626094795,199.87345440130267,33.00000001107448,2.0683932083652317,1.4550640541225842e-06,9.892213269363853e-11,9.839999998698053e+20,2.2099999999999915e+22,13490293551.376812,262225723648.8145
260.66999999983545,1289.463824690814,0.0007089554633834874,-0.0009201667156820385,450.0071269457901,450.0012827356759,200.07346495375486,33.00000000860055,2.076608476403723,1.4781770258505065e-06,9.929657291943996e-11,9.839999998693093e+20,2.2099999999999915e+22,13541357033.58779,263218300906.2459
261.174999999835,1281.6947978498913,0.0007046840027045765,-0.0009201663552596293,450.0070929755203,450.00127912427445,199.87347567899093,33.00000000667927,2.0847796648715695,1.501556389558995e-06,9.966874794098228e-11,9.839999998688195e+20,2.2099999999999915e+22,13592111603.429193,264204873493.03488
261.67999999983454,1274.0344464805182,0.0007004722924954463,-0.0009201659947562051,450.0070591054951,450.0012754305931,200.07348615682324,33.00000000518722,2.0929074128894434,1.5252031347163215e-06,1.000386897162711e-10,9.839999998683297e+20,2.2099999999999915e+22,13642561619.105509,265185526124.41068
262.1849999998341,1266.4794384509353,0.0006963185007287302,-0.0009201656344929534,450.0070253414617,450.00127165880156,199.8734968068008,33.000000004028465,2.100992339639191,1.5491182447254228e-06,1.004064292173757e-10,9.839999998678398e+20,2.2099999999999915e+22,13692711304.366196,266160340902.0531
262.6899999998336,1259.0265832302407,0.000692220873230119,-0.0009201652746875872,450.0069916849448,450.0012678124791,200.07350721166742,33.00000000312852,2.1090350452182123,1.5733026970076396e-06,1.0077199647256633e-10,9.839999998673503e+20,2.2099999999999915e+22,13742564754.252167,267129397425.7919
263.19499999983316,1251.6728243697912,0.0006881777295445872,-0.0009201649155500751,450.00695814122207,450.0012638955368,199.8735177880315,33.00000000242964,2.1170361114480634,1.5977574630839005e-06,1.0113542060619686e-10,9.839999998668737e+20,2.2099999999999915e+22,13792125940.534714,268092772899.32852
263.6999999998327,1244.4152324892675,0.0006841874590800872,-0.0009201645572169002,450.006924711413,450.00125991129966,200.07352812150356,33.0000000018869,2.124996102640368,1.6224835086534612e-06,1.0149672987648658e-10,9.839999998663971e+20,2.2099999999999915e+22,13841398716.867811,269050542230.38843
264.20499999983224,1237.2509987258104,0.0006802485175058424,-0.0009201641998347186,450.0068914003711,450.00125586343404,199.8735386258185,33.00000000146539,2.132915566322924,1.6474817936703173e-06,1.0185595171133913e-10,9.839999998659206e+20,2.2099999999999915e+22,13890386823.672945,270002778125.67218
264.7099999998318,1230.1774286103193,0.0006763594233854967,-0.0009201638434848225,450.0068582088541,450.0012517550256,200.07354888939216,33.000000001138034,2.140795033928596,1.6727532724173742e-06,1.0221311274232821e-10,9.83999999865444e+20,2.2099999999999915e+22,13939093892.77386,270949551180.94565
